avatar_link,name
https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_400x400.jpg,Barack Obama
https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_400x400.jpg,Elon Musk
https://pbs.twimg.com/profile_images/1473447174591684612/vlsbWYtq_400x400.jpg,Justin Bieber
https://pbs.twimg.com/profile_images/1392465354622791687/w_KwtKcE_400x400.jpg,KATY PERRY
https://pbs.twimg.com/profile_images/1585851311701970945/fC9dfWVm_400x400.jpg,Rihanna
https://pbs.twimg.com/profile_images/1594446880498401282/o4L2z8Ay_400x400.jpg,Cristiano Ronaldo
https://pbs.twimg.com/profile_images/1564101520043479043/eJpWqka2_400x400.jpg,Taylor Swift
https://pbs.twimg.com/profile_images/1548557958564364289/6ewE00_O_400x400.jpg,Lady Gaga
https://pbs.twimg.com/profile_images/1565985672501927936/d-r-h241_400x400.jpg,Narendra Modi
https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_400x400.jpg,YouTube
https://pbs.twimg.com/profile_images/1478120772044574724/v-dDUYb7_400x400.jpg,Ellen DeGeneres
https://pbs.twimg.com/profile_images/1589659852271280128/KhrL02UB_400x400.jpg,Kim Kardashian
https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_400x400.jpg,NASA
https://pbs.twimg.com/profile_images/1599831054881374224/sx4KqXNX_400x400.jpg,Selena Gomez
https://pbs.twimg.com/profile_images/1488548719062654976/u6qfBBkF_400x400.jpg,Twitter
https://pbs.twimg.com/profile_images/925092227667304448/fAY1HUu3_400x400.jpg,CNN Breaking News
https://pbs.twimg.com/profile_images/1232096230702014464/E7LexPCo_400x400.jpg,Justin Timberlake
https://pbs.twimg.com/profile_images/1564398871996174336/M-hffw5a_400x400.jpg,Bill Gates
https://pbs.twimg.com/profile_images/1590849874429460481/lO4dvw0c_400x400.jpg,Neymar Jr
https://pbs.twimg.com/profile_images/1323418800876777474/0w4orMOC_400x400.jpg,Britney Spears ðŸŒ¹ðŸš€
https://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_400x400.png,The New York Times
https://pbs.twimg.com/profile_images/1529870861888409602/BzR4cdNR_400x400.jpg,Demi Lovato
https://pbs.twimg.com/profile_images/1582887021198168064/nl5v1Uhs_400x400.jpg,Shakira
https://pbs.twimg.com/profile_images/1421530540063092736/xqtcu8HX_400x400.jpg,LeBron James
https://pbs.twimg.com/profile_images/1562753500726976514/EPSUNyR3_400x400.jpg,Virat Kohli
https://pbs.twimg.com/profile_images/1134090740592627712/0Fp-U5-p_400x400.png,PMO India
https://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_400x400.jpg,BBC Breaking News
https://pbs.twimg.com/profile_images/1585688225506476032/KJymkokI_400x400.jpg,Jimmy Fallon
,Amitabh Bachchan
,ë°©íƒ„ì†Œë…„ë‹¨
,Miley Cyrus
,Real Madrid C.F.
,Akshay Kumar
,FC Barcelona
,Salman Khan
,ESPN
,Bruno Mars
,Oprah Winfrey
,Shah Rukh Khan
,BTS_official
,Niall Horan
,Kylie Jenner
,Drizzy
,BBC News (World)
,Harry Styles.
,Sachin Tendulkar
,Premier League
,Kevin Hart
,Wiz Khalifa
,Joe Biden
